;;;
;kk menot yht;2400 €;
;;;
;Asuntovastike;229 €;
;puhelin;21 €;
;netti;10 €;
;lasten sijoitukset;120 €;
;lasten viikkoraha;80 €;
;sähkö;25 €;
;henkilö- ja kotivakuutukset;59 €;
;autovakuutukset;61 €;
;Elatusapu;400 €;
;Lainat;795 €;
;Ruoka;350 €;
;Bensa;180 €;
;tavoitetilille;25 €;
;hesari;30 €;
;suomen kuvalehti;14 €;
