pvm;pvm;;Omat sijoitukset ed. merk.;nordnet;OP osakkeet;TAPIOLA;S - sijoitus;osak-keet yht.;Kaikki Lainat;tulotili - visa ja jatkuva luotto;Tulotili;elatustili;tavoitetili;S - pankki;OP GOLD;Tilit yht;Tilit+ osakkeet yht;VISA;Jakuva luottotili;asuntolaina;asuntolaina (peruskorjaus);AUTOLAINA;ASUNTOLAINA yht;visa + OP GOLD + luottotili;lasten sijoitusrahastoon;;huom.;OsakeOstot;Myynti;Siirrto arvo-osuustilille;Siirto arvo-osuustililtä;Osinko;omaisuus - lainat;LAINALYHENNYS+KORKO KK;kulutus kuukaudessa;vuosikehitys %;vuosikehitys euroissa;kehitys 2017 asti;Tulotilin kk seu-ranta %;Tuohi-kortti;ASUNTOLAINA remontti;Tulotilin kuukausi seuranta;op osakekaupankäynti raha ei vielä tilillä;Isot hankinnat;OSINGOT nordnet;OSINGOT op;RAHASTOT;Autolaina tulotilillä;;;;;
2016;2016;;;;;;;;;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.09.16;06.09.16;;;;36 288;;;;;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7018;;;;;;
17.10.16;17.10.16;;;;37 096;;;44 028;;920;920;477;100;;;1 497;45 525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6932;;;;;;
20.10.16;20.10.16;;-100,00 %;;;;;;;0;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;myynti delta kauppahinta 4640,19;;;;;;
;;;;;37 836;;;44 899;;903;903;477;100;;;1 480;46 379;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7063;;;;;;
14.11.16;14.11.16;;-7,00 %;2 944;36 476;;;41 754;;2 181;2 181;77;100;;;2 358;44 112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2334;;;;;;
01.12.16;01.12.16;;1,35 %;3 028;36 916;;;42 319;;7 734;7 734;177;200;;;8 111;50 430;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2375;;;;;;
16.12.16;16.12.16;;5,77 %;3 043;39 239;;;44 759;;5 397;5 397;177;300;;;5 874;50 633;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2477;;;;;;
23.12.16;23.12.16;;-100,00 %;;;;;;;0;;;;;;0;0;;;;;;;;;;Osto -1690 piano;;;;;;;;;;;;;;;;;1690,00 €;piano;;;;;;;;
2017;2017;;;;;;;;;0;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2017
04.01.17;04.01.17;;;3 194;39 750;;;45 477;;3 872;3 872;227;300;;;4 399;49 876;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2533;;;;;;
12.01.17;12.01.17;;0,00 %;3 194;39 750;;;45 477;;0;;;;;;0;45 477;;;;;;;;;;siirsin 8166e nordnettiin;;;;;;;;;0,0 %;0;;;;;;;;;;2533;;;;;;
12.01.17;12.01.17;;-2,08 %;8 385;36 145;;;44 530;;2 234;2 234;227;300;;;2 761;47 291;;;;;;;;;;;;;;;;;;;-2,1 %;-947;-2,13 %;;;;;;;;;0;;;;;;
25.01.17;25.01.17;;2,25 %;8 479;37 051;;;45 530;;1 039;1 039;727;400;;;2 166;47 696;;;;;;;;;;;;;;;;;;;0,1 %;53;0,12 %;;;;;;;;;0;;;;;;
30.01.17;30.01.17;;-100,00 %;;;;;;;0;;;;;;0;0;;;;;;;;;;Osto -1000e Genelec kaiuttimet;;;;;;;;;;-45 477;;;;;;;1000,00 €;kaiuttimet;;;;;;;;
01.02.17;01.02.17;;;8 275;36 819;;;45 094;;3 266;3 266;327;400;;;3 993;49 087;;;;;;;;;;;;;;;;;;;-0,8 %;-383;-0,85 %;;;;;;;;;0;;;;;;
01.03.17;01.03.17;;1,38 %;8 322;37 396;;;45 718;;2 106;2 106;527;500;;;3 133;48 851;;;;;;;;;;;;;;;;;;;0,5 %;241;0,53 %;;;;;;;;;;;;;;;
17.03.17;17.03.17;;0,95 %;8 412;37 739;;;46 151;;643;643;527;600;;;1 770;47 921;;;;;;;;;;;;;;;;;;;1,5 %;674;1,46 %;;;;;;;;;0;;;;;;
13.04.17;13.04.17;;-3,59 %;8 352;36 142;;;44 494;;2 380;2 380;452;600;;;3 432;47 926;;;;;;;;;;;;;;;;;;;-2,2 %;-983;-2,21 %;;;;;;;;;0;;;;;;
25.04.17;25.04.17;;2,82 %;8 480;37 268;;;45 748;;1 741;1 741;52;700;;;2 493;48 241;;;;;;;;;;;;;;;;;;;0,6 %;271;0,59 %;;;;;;;;;0;;;;;;
28.04.17;28.04.17;;2,70 %;8 344;38 639;;;46 983;;1 600;1 600;52;700;;;2 352;49 335;;;;;;;;;;;;;;;;;;;3,2 %;1 506;3,21 %;;;;;;;;;0;;;;;;
02.05.17;02.05.17;;1,00 %;8 380;39 072;;;47 452;0;1 820;1 820;502;700;;;3 022;50 474;;;;;;51 357;0;;;Osto -1216e sänky;;;;;;50 474;;;4,2 %;1 975;4,16 %;;;;;;1 216,00 €;sänky;;0;;;;;;
10.05.17;10.05.17;;0,71 %;8 480;39 311;;;47 791;0;789;789;502;700;;;1 991;49 782;;;;;;50 891;0;;;;;;;;;49 782;;;4,8 %;2 314;4,84 %;;;;;;;;;0;;;;;;
11.05.17;11.05.17;;-1,34 %;7 506;39 644;;;47 150;0;1 741;1 741;502;700;;;2 943;50 093;;;;;;50 891;0;;;;;;;Siirto 1000e nordnetistä op:iin;;50 093;;;3,5 %;1 673;3,55 %;;;;;;1000,00 €;käyttötilille;;0;;;;;;
12.05.17;12.05.17;;0,00 %;7 506;39 644;;;47 150;0;1 741;1 741;502;700;;;2 943;50 093;;;;;;50 891;0;;;;;osakemyynti: metso, asiakastieto, ramirent;;;;50 093;;;3,5 %;1 673;;;;;;;;;;;;;;;;
17.05.17;17.05.17;;-28,15 %;7 497;26 380;;;33 877;0;14 390;14 390;502;800;;;15 692;49 569;;;;;;50 891;0;;;;;;;;;49 569;;;-34,2 %;-11 600;-34,24 %;;;;;;;;;0;;;;;;
22.05.17;22.05.17;;1,59 %;7 460;26 955;;;34 415;0;14 154;14 154;502;800;;;15 456;49 871;;;;;;50 891;0;;;;;;;;;49 871;;;-32,1 %;-11 062;-32,14 %;;;;;;;;;;;;;;;
24.05.17;24.05.17;;-0,41 %;7 494;26 780;;;34 274;0;18 296;18 296;502;800;;;19 598;53 872;;;;;;50 891;0;;;;;;;;;53 872;;;-32,7 %;-11 203;-32,69 %;;;;;;;;;;;;;;;
26.06.17;26.06.17;;-1,90 %;7 504;26 120;;;33 624;0;15 550;15 550;152;900;;;16 602;50 226;;;;;;50 427;0;;;kesäkuussa makuuhuoneen vaatekaapit. Lontoon lento +hotelli maksu.;;;;;;50 226;;;-35,3 %;-11 853;-35,25 %;;;;;;;Lontoonreissu;;;;;;;;
07.07.17;07.07.17;;28,02 %;17 106;25 939;;;43 045;0;7 131;7 131;152;900;;;8 183;51 228;;;;;;49 960;0;;;;;;;;;51 228;;;-5,6 %;-2 432;-5,65 %;;;;;;;;;;;;;;;
16.07.17;16.07.17;;2,53 %;17 250;26 885;;;44 135;0;6 486;6 486;152;900;;;7 538;51 673;;;;;;49 960;0;;;;;;;;;51 673;;;-3,0 %;-1 342;-3,04 %;;;;;;;;;;;;;;;
19.07.17;19.07.17;;-0,39 %;17 321;26 643;;;43 964;0;6 186;6 186;152;1 000;;;7 338;51 302;;;;;;49 960;0;;;;;;;;;51 302;;;-3,4 %;-1 513;-3,44 %;;;;;;;;;;;;;;;
23.07.17;23.07.17;;-3,15 %;17 149;25 429;;;42 578;0;4 781;4 781;352;1 000;;;6 133;48 711;;;;;;49 960;0;;;elatusmaksu 600;;;;;;48 711;;;-6,8 %;-2 899;-6,81 %;;;;;;;;;;;;;;;
29.07.17;29.07.17;;-0,26 %;17 050;25 418;;;42 468;;;4 525;352;1 000;;;5 877;48 345;;;;;;49 960;;;;;;;;;;;;;-7,1 %;-3 009;-7,09 %;;;;;;;;;;;;;;;
07.08.17;07.08.17;;0,51 %;17 219;25 467;;;42 686;;;6 054;352;1 000;;;7 406;50 092;;;;;;49 494;;;;;;;;;;;;;-6,5 %;-2 791;-6,54 %;;;;;;;;;;;;;;;
08.08.17;08.08.17;;0,58 %;17 280;25 653;;;42 933;;;5 990;352;1 000;;;7 342;50 275;;;;;;49 494;;;;;;;;;;;;;-5,9 %;-2 544;-5,93 %;;;;;;500,00 €;tytöille puhellimet;;;;;;;;
16.08.17;16.08.17;;-0,62 %;17 071;25 597;;;42 668;;;5 562;352;1 100;;;7 014;49 682;;;;;;49 494;;;;;;;;;;;;;-6,6 %;-2 809;-6,58 %;;;;;;;;;;;;;;;
17.08.17;17.08.17;;0,66 %;17 166;25 785;;;42 951;;;4 894;352;1 100;;;6 346;49 297;;;;;;49 494;;;;;;;;;;;;;-5,9 %;-2 526;-5,88 %;;;;;;;;;;;;;;;
25.08.17;25.08.17;;0,91 %;17 221;26 119;;;43 340;;;4 330;352;1 100;;;5 782;49 122;;;;;;49 494;;;;;;;;;;;;;-4,9 %;-2 137;-4,93 %;;;;;;;;;;;;;;;
31.08.17;31.08.17;;0,43 %;17 240;26 286;;;43 526;;;3 549;652;1 100;;;5 301;48 827;;;;;;49 494;;;;;;;;;;;;;-4,5 %;-1 951;-4,48 %;;;;;;;;;;;;;;;
01.09.17;01.09.17;;0,09 %;17 261;26 306;;;43 567;;;5 911;652;1 100;;;7 663;51 230;;;;;;49 494;;;;;;;;;;;;;-4,4 %;-1 910;-4,38 %;;;;;;;;;;;;;;;
05.09.17;05.09.17;;-0,40 %;17 218;26 176;;;43 394;;;5 382;652;1 100;;;7 134;50 528;;;;;;49 028;;;;;;;;;;;;;-4,8 %;-2 083;-4,80 %;;;;;;;;;;;;;;;
07.09.17;07.09.17;;-0,33 %;17 160;26 092;;;43 252;;;5 370;652;1 100;;;7 122;50 374;;;;;;49 028;;;;;;;;;;;;;-5,1 %;-2 225;-5,14 %;;;;;;;;;;;;;;;
08.09.17;08.09.17;;0,03 %;17 165;26 102;;;43 267;;;5 370;652;1 100;;;7 122;50 389;;;;;;49 028;;;;;;;;;;;;;-5,1 %;-2 210;-5,11 %;;;;;;;;;;;;;;;
11.09.17;11.09.17;;0,49 %;17 300;26 177;;;43 477;;;4 994;652;1 100;;;6 746;50 223;;;;;;49 028;;;;;;;;;;;;;-4,6 %;-2 000;-4,60 %;;;;;;;;;;;;;;;
12.09.17;12.09.17;;0,51 %;17 427;26 273;;;43 700;;;4 970;652;1 100;;;6 722;50 422;;;;;;49 028;;;;;;;;;;;;;-4,1 %;-1 777;-4,07 %;;;;;;;;;;;;;;;
13.09.17;13.09.17;;0,14 %;17 390;26 369;;;43 759;;;4 962;652;1 100;;;6 714;50 473;;;;;;49 028;;;;;;;;;;;;;-3,9 %;-1 718;-3,93 %;;;;;;;;;;;;;;;
14.09.17;14.09.17;;-0,05 %;17 359;26 376;;;43 735;;;4 963;652;1 100;;;6 715;50 450;;;;;;49 028;;;;;;;;;;;;;-4,0 %;-1 742;-3,98 %;;;;;;;;;;;;;;;
15.09.17;15.09.17;;1,41 %;18 132;26 219;;;44 351;;;3 797;652;1 200;;;5 649;50 000;;;;;;49 028;;;;;;;Siirto Tililtä 1000e  Nordnettiin;;;;;;-2,5 %;-1 126;-2,54 %;;;;;;;;;;;;;;;
18.09.17;18.09.17;;1,97 %;18 725;26 500;;;45 225;;;3 188;252;1 200;;;4 640;49 865;;;;;;49 028;;;;elatusmaksu syyskuu 400e;;;Siirto Nordnettiin 500e, ;;;;;;-0,6 %;-252;-0,56 %;;;;;;;;;;;;;;;
19.09.17;19.09.17;;0,10 %;18 759;26 512;;;45 271;;;2 687;252;1 200;;;4 139;49 410;;;;;;49 028;;;;Rovio osakeanti 101 osaketta, sängyn uusiminen pehmeämpään -449, satulatuoli 45;;;;;;;;;-0,5 %;-206;-0,46 %;;;;;;;;;;;;;;;
20.09.17;20.09.17;;1,12 %;18 820;26 959;;;45 779;;;2 644;252;1 200;;;4 096;49 875;;;;;;49 028;;;;(Fortum aikoo ostaa saksalaisen Unipein) ;;;;;;;;;0,7 %;302;0,66 %;;;;;;;;;;;;;;;
21.09.17;21.09.17;;-0,37 %;18 788;26 823;;;45 611;;;2 561;252;1 200;;;4 013;49 624;;;;;;49 028;;;;(Fortum laskee);;;;;;;;;0,3 %;134;0,29 %;;;;;;;;;;;;;;;
25.09.17;25.09.17;;-0,44 %;18 733;26 678;;;45 411;;;2 561;252;1 200;;;4 013;49 424;;;;;;49 028;;;;;;FORTUM MYYNTI;;;;;;;-0,1 %;-66;-0,15 %;;;;;;;;;;;;;;;
26.09.17;26.09.17;;0,01 %;18 739;26 677;;;45 416;;;2 561;252;1 200;;;4 013;49 429;;;;;;49 028;;;;;;;;;;;;;-0,1 %;-61;-0,13 %;;;;;;;;;;;;;;;
27.09.17;27.09.17;;0,54 %;28 376;17 284;;;45 660;;;2 261;252;1 200;;;3 713;49 373;;;;;;49 028;;;;;;;TILISIIRTO NORDNETTIIN 9600 (fortum omistus opsta);;;;;;0,4 %;183;0,40 %;;;;;;;;;;;;;;;
28.09.17;28.09.17;;0,29 %;28 512;17 279;;;45 791;;;2 261;252;1 200;;;3 713;49 504;;;;;;49 028;;;;;;;;;;;;;0,7 %;314;0,69 %;;;;;;;;;;;;;;;
29.09.17;29.09.17;pe;0,18 %;28 502;17 370;;;45 872;;;2 179;252;1 200;;;3 631;49 503;;;;;;49 028;;;;;;Rovio prelistalla. MYYNTI TELIA;;;;;;;0,9 %;395;0,86 %;;;;;;;;;;;;;;;
02.10.17;02.10.17;ma;0,36 %;28 587;17 451;;;46 038;;;4 519;252;1 200;;;5 971;52 009;;;;;;49 028;;;;;;;;;;;;;1,2 %;561;1,22 %;;;;;;;;;;;;;;;
03.10.17;03.10.17;ti;0,43 %;30 092;16 146;;;46 238;;;3 981;252;1 200;;;5 433;51 671;;;;;;49 028;;;;;;;SIIRTO NORDNETTIIN 1400;;;;;;1,6 %;761;1,65 %;11,9 %;;;538;;;;;;;;;;;
04.10.17;04.10.17;ke;-0,22 %;29 980;16 154;;;46 134;;;3 905;252;1 200;;;5 357;51 491;;;;;;49 028;;;;;;;;;;;;;1,4 %;657;1,42 %;13,6 %;;;614;;;;;;;;;;;
05.10.17;05.10.17;to;0,51 %;30 147;16 224;;;46 371;;;3 391;252;1 200;;;4 843;51 214;;;;;;48 560;;;;;;;;;;;;;1,9 %;894;1,93 %;25,0 %;;;1 128;;;;;;;;;;;
06.10.17;06.10.17;pe;0,06 %;30 206;16 195;;;46 401;;;3 085;252;1 200;;;4 537;50 938;;;;;;48 560;;;;Tytöille 50/tyttö. Ostin B&Wkuulokkeet;;;;;;;;;2,0 %;924;1,99 %;31,7 %;;;1 434;;;;;;;;;;;
09.10.17;09.10.17;ma;0,17 %;30 226;16 256;;;46 482;;;2 900;252;1 200;;;4 352;50 834;;;;;;48 560;;;;;;;;;;;;;2,2 %;1 005;2,16 %;35,8 %;;;1 619;;;;;;;;;;;
10.10.17;10.10.17;ti;-0,17 %;30 204;16 197;;;46 401;;;2 636;252;1 200;;;4 088;50 489;;;;;;48 560;;;;;;;;;;;;;2,0 %;924;1,99 %;41,7 %;;;1 883;;;;;;;;;;;
11.10.17;11.10.17;ke;0,05 %;30 227;16 197;;;46 424;;;2 071;252;1 200;;;3 523;49 947;;;;;;48 560;;;;OSTO puhelin honor 8, Ikea petauspatja;;;;;;;;;2,0 %;947;2,04 %;54,2 %;;;2 448;;300,00 €;puhelin honor8;;;;;;;;
12.10.17;12.10.17;to;-0,36 %;30 270;15 987;;;46 257;;;2 020;252;1 200;;;3 472;49 729;;;;;;48 560;;;;;;;;;;;;;1,7 %;780;1,69 %;55,3 %;;;2 499;;;;;;;;;;;
16.10.17;16.10.17;MA;-0,23 %;30 317;15 834;;;46 151;;;1 013;302;1 300;;;2 615;48 766;;;;;;48 560;;;;;;;;;;;;;1,5 %;674;1,46 %;77,6 %;;;3 506;;;;;;;;;;;
17.10.17;17.10.17;ti;0,42 %;30 453;15 891;;;46 344;;;985;302;1 300;;;2 587;48 931;;;;;;48 560;;;;;;;;;;;;;1,9 %;867;1,87 %;78,2 %;;;3 534;;;;;;;;;;;
18.10.17;18.10.17;ke;0,51 %;30 608;15 974;;;46 582;;;950;302;1 300;;;2 552;49 134;;;;;;48 560;;;;;;;;;;;;;2,4 %;1 105;2,37 %;79,0 %;;;3 569;;;;;;;;;;;
19.10.17;19.10.17;to;-0,32 %;30 504;15 931;;;46 435;;;950;302;1 300;;;2 552;48 987;;;;;;48 560;;;;;;;;;;;;;2,1 %;958;2,06 %;79,0 %;;;3 569;;;;;;;;;;;
20.10.17;20.10.17;pe;0,96 %;30 724;16 159;;;46 883;;;827;302;1 300;;;2 429;49 312;;;;;;48 560;;;;;;;;;;;;;3,0 %;1 406;3,00 %;81,7 %;;;3 692;;;;;;;;;;;
23.10.17;23.10.17;MA;-0,40 %;30 676;16 020;;;46 696;;;766;302;1 300;;;2 368;49 064;;;;;;48 560;;;;;;;;;;;;;2,6 %;1 219;2,61 %;83,0 %;;;3 753;;;;;;;;;;;
24.10.17;24.10.17;ti;-0,40 %;30 611;15 898;;;46 509;;;725;302;1 300;;;2 327;48 836;;;;;;48 560;;;;;;;;;;;;;2,2 %;1 032;2,22 %;84,0 %;;;3 794;;;;;;;;;;;
25.10.17;25.10.17;ke;-0,40 %;30 541;15 781;;;46 322;;;643;302;1 300;;;2 245;48 567;;;;;;48 560;;;;;;;;;;;;;1,8 %;845;1,82 %;85,8 %;;;3 876;;;;;;;;;;;
26.10.17;26.10.17;to;-3,58 %;29 993;14 669;;;44 662;;;311;302;1 300;;;1 913;46 575;;;;;;48 560;;;;;;;;;;;;;-1,8 %;-815;-1,82 %;93,1 %;;;4 208;;;;;;;;;;;
27.10.17;27.10.17;pe;0,51 %;30 087;14 804;;;44 891;;;311;302;1 300;;;1 913;46 804;;;;;;48 560;;;;;;;;;;;;;-1,3 %;-586;-1,31 %;93,1 %;;;4 208;;;;;;;;;;;
30.10.17;30.10.17;MA;-1,06 %;29 772;14 642;;;44 414;;;245;302;1 300;;;1 847;46 261;;;;;;48 560;;;;;;;;;;;;;-2,4 %;-1 063;-2,39 %;94,6 %;;;4 274;;;;;;;;;;;
31.10.17;31.10.17;ti;0,14 %;29 848;14 629;;;44 477;;;245;302;1 300;;;1 847;46 324;;;;;;48 560;;;;;;MYYNTI Kemira;;;;;;;-2,2 %;-1 000;-2,25 %;;;;;;;;;;;;;;;
01.11.17;01.11.17;ke;0,67 %;30 068;14 706;;;44 774;;;2 664;302;1 300;;;4 266;49 040;;;;;;48 560;;;; ;;;;;;;;;-1,6 %;-703;-1,57 %;;;;;;;;;;;;;;;
02.11.17;02.11.17;to;0,71 %;30 249;14 841;;;45 090;;;2 664;302;1 300;;;4 266;49 356;;;;;;48 560;;;; ;;;;;;;;;-0,9 %;-387;-0,86 %;0,0 %;;;0;;;;;;;;;;;
03.11.17;03.11.17;pe;-0,02 %;30 277;14 806;;;45 083;;;2 664;302;1 300;;;4 266;49 349;;;;;;48 560;;;; ;;;;;;;;;-0,9 %;-394;-0,87 %;0,0 %;;;0;;;;;;;;;;;
07.11.17;07.11.17;ti;-1,14 %;29 983;14 586;;;44 569;;;1 756;302;1 300;;;3 358;47 927;;;;;;48 093;;;;Tahkon majoitus maksettu 558;;;Kemira talletustilille;;;;;;-2,0 %;-908;-2,04 %;34,1 %;;;908;;;;;;;;;;;
08.11.17;08.11.17;ke;-0,52 %;29 902;14 437;;;44 339;;;1 710;302;1 300;;;3 312;47 651;;;;;;48 093;;;;;;;;;;;;;-2,6 %;-1 138;-2,57 %;35,8 %;;;954;;;;;;;;;;;
09.11.17;09.11.17;to;-0,53 %;29 592;14 510;;;44 102;;;1 710;302;1 300;;;3 312;47 414;;;;;;48 093;;;;;;;;;;;;;-3,1 %;-1 375;-3,12 %;35,8 %;;;954;;;;;;;;;;;
13.11.17;13.11.17;ma;0,72 %;30 171;14 250;;;44 421;;;992;302;500;;;1 794;46 215;;;;;;48 093;;;;;;;Tilisiirto Nordnettiin 1000e;;;;;;-2,4 %;-1 056;-2,38 %;62,8 %;;;1 672;;;;;;;;;;;
14.11.17;14.11.17;ti;-0,74 %;29 844;14 250;;;44 094;;;992;302;500;;;1 794;45 888;;;;;;48 093;;;;;;;;;;;;;-3,1 %;-1 383;-3,14 %;62,8 %;;;1 672;;;;;;;;;;;
15.11.17;15.11.17;ke;1,24 %;30 757;13 883;;;44 640;;;992;302;500;;;1 794;46 434;;;;;;48 093;;;;;;;Siirto Jatkuva luottotililtä Nordnettiin 1000e;;;;;;-1,9 %;-837;-1,88 %;62,8 %;;;1 672;;;;;;;;;;;
16.11.17;16.11.17;to;1,41 %;30 999;14 272;;;45 271;;;872;202;600;;;1 674;46 945;;;;;;48 093;;;;;;;;;;;;;-0,5 %;-206;-0,46 %;67,3 %;;;1 792;;;;;;;;;;;
17.11.17;17.11.17;pe;-1,44 %;30 736;13 885;;;44 621;;;872;202;600;;;1 674;46 295;;;;;;48 093;;;;;;;;;;;;;-1,9 %;-856;-1,92 %;67,3 %;;;1 792;;;;;;;;;;;
20.11.17;20.11.17;MA;0,33 %;30 872;13 898;;;44 770;;;772;202;600;;;1 574;46 344;;;;;;48 093;;;;;;;;;;;;;-1,6 %;-707;-1,58 %;71,0 %;;;1 892;;;;;;;;;;;
21.11.17;21.11.17;ti;0,30 %;30 905;13 998;;;44 903;;;721;202;600;;;1 523;46 426;;;;;;48 093;;;;;;;;;;;;;-1,3 %;-574;-1,28 %;72,9 %;;;1 943;;;;;;;;;;;
22.11.17;22.11.17;ke;-0,05 %;30 949;13 932;;;44 881;;;687;202;600;;;1 489;46 370;;;;;;48 093;;;;;;;;;;;;;-1,3 %;-596;-1,33 %;74,2 %;;;1 977;;;;;;;;;;;
23.11.17;23.11.17;to;0,31 %;31 069;13 952;;;45 021;;;660;202;600;;;1 462;46 483;;;;;;48 093;;;;;;;;;;;;;-1,0 %;-456;-1,01 %;75,2 %;;;2 004;;;;;;;;;;;
24.11.17;24.11.17;pe;0,24 %;31 152;13 979;;;45 131;;;636;202;600;;;1 438;46 569;;;;;;48 093;;;;;;;;;;;;;-0,8 %;-346;-0,77 %;76,1 %;;;2 028;;;;;;;;;;;
27.11.17;27.11.17;MA;-1,30 %;30 695;13 850;;;44 545;;;405;202;600;;;1 207;45 752;;;;;;48 093;;;;;;;;;;;;;-2,1 %;-932;-2,09 %;84,8 %;;;2 259;;;;;;;;;;;
28.11.17;28.11.17;ti;0,12 %;30 691;13 906;;;44 597;;;380;202;600;;;1 182;45 779;;;;;;48 093;;;;;;;;;;;;;-2,0 %;-880;-1,97 %;85,7 %;;;2 284;;;;;;;;;;;
29.11.17;29.11.17;ke;0,43 %;30 774;14 014;;;44 788;;;364;202;200;;;766;45 554;;;;;;48 093;;;;maksoin veroa 317e;;;;;;;;;-1,5 %;-689;-1,54 %;86,3 %;;;2 300;;;;;;;;;;;
30.11.17;30.11.17;to;-0,07 %;30 703;14 053;;;44 756;;;244;202;200;;;646;45 402;;;;;;48 093;;;;;;;;;;;;;-1,6 %;-721;-1,61 %;90,8 %;;;2 420;;;;;;;;;;;
01.12.17;01.12.17;pe;-0,50 %;30 575;13 956;;;44 531;;;2 589;202;200;;;2 991;47 522;;;;;;48 093;;;;;;;;;;;;;-2,1 %;-946;-2,12 %;;;;;;;;;;;;;;;
04.12.17;04.12.17;ma;-0,37 %;30 560;13 808;;;44 368;;;2 403;202;200;;;2 805;47 173;;;;;;48 093;;;;;;;;;;;;;-2,5 %;-1 109;-2,50 %;7,2 %;;;186;;;;;;;;;;;
05.12.17;05.12.17;ti;0,03 %;30 583;13 798;;;44 381;;;1 810;202;200;;;2 212;46 593;;;;;;47 626;;;;;;;;;;;;;-2,5 %;-1 096;-2,47 %;30,1 %;;;779;;;;;;;;;;;
06.12.17;06.12.17;ke;0,00 %;30 583;13 798;;;44 381;;;1 810;202;200;;;2 212;46 593;;;;;;47 626;;;;itsenäisyyspäivä;;;;;;;;;-2,5 %;-1 096;-2,47 %;30,1 %;;;779;;;;;;;;;;;
07.12.17;07.12.17;to;-0,63 %;30 409;13 694;;;44 103;;;1 724;202;200;;;2 126;46 229;;;;;;47 626;;;;;;;;;;;;;-3,1 %;-1 374;-3,12 %;33,4 %;;;865;;;;;;;;;;;
08.12.17;08.12.17;pe;1,97 %;30 911;14 062;;;44 973;;;1 724;202;200;;;2 126;47 099;;;;;;47 626;;;;;;;;;;;;;-1,1 %;-504;-1,12 %;33,4 %;;;865;;;;;;;;;;;
11.12.17;11.12.17;MA;0,32 %;31 039;14 080;;;45 119;;;1 366;202;200;;;1 768;46 887;;;;;;47 626;;;;;;;;;;;;;-0,8 %;-358;-0,79 %;47,2 %;;;1 223;;;;;;;;;;;
12.12.17;12.12.17;ti;0,09 %;31 053;14 108;;;45 161;;;1 049;502;200;;;1 751;46 912;;;;;;47 626;;;;; osto nokia;myynti metsä board;;;;;;;-0,7 %;-316;-0,70 %;59,5 %;;;1 540;;;;;;;;;;;
13.12.17;13.12.17;ke;-3,60 %;31 076;12 460;;;43 536;;;1 045;502;200;;;1 747;45 283;;;;;;47 626;;;;;;myynti metsä board 250klp (kurssinousu tänään 5%);;;;;;;-4,5 %;-1 941;-4,46 %;59,6 %;;;1 544;1768,00 €;3716,00 €;yht;;;;;;;;
14.12.17;14.12.17;to;-1,00 %;30 709;12 390;;;43 099;;;1 045;502;200;;;1 747;44 846;;;;;;47 626;;;;;osto cargotec 47,71;;;;;;;;-5,5 %;-2 378;-5,52 %;59,6 %;;;1 544;1768,00 €;;;;;;;;;;
18.12.17;18.12.17;MA;1,13 %;31 026;12 559;;;43 585;;;2 636;103;300;;;3 039;46 624;;;;;;47 626;;;;;;;;Pluspäivä. 1768 käyttötilille ;;;;;-4,3 %;-1 892;-4,34 %;-1,8 %;;;-47;;;;;;;;;;;
19.12.17;19.12.17;ti;-0,18 %;31 019;12 487;;;43 506;;;2 636;103;300;;;3 039;46 545;;;;;;47 626;;;;outokumpu +4,5%;;;;;;;;;-4,5 %;-1 971;-4,53 %;-1,8 %;;;-47;;;;;;;;;;;
20.12.17;20.12.17;ke;-0,51 %;30 853;12 431;;;43 284;;;2 499;103;300;;;2 902;46 186;;;;;;47 626;;;;;;;;;;;;;-5,1 %;-2 193;-5,07 %;3,5 %;;;90;;;;;;;;;;;
21.12.17;21.12.17;to;1,40 %;31 245;12 647;;;43 892;;;2 487;103;300;;;2 890;46 782;;;;;;47 626;;;;;;;;;;;;;-3,6 %;-1 585;-3,61 %;3,9 %;;;102;;;;;;;;;;;
27.12.17;27.12.17;ke;-0,01 %;31 240;12 646;;;43 886;;;2 153;103;300;;;2 556;46 442;;;;;;47 626;;;;;;;;;;;;;-3,6 %;-1 591;-3,63 %;16,8 %;;;436;;;;;;;;;;;
29.12.17;29.12.17;pe;-0,77 %;31 132;12 415;;;43 547;;;2 056;103;300;;;2 459;46 006;;;;;;47 626;;;;;;;;;;;;;-4,4 %;-1 930;-4,43 %;20,6 %;;;533;;;;;;;;;;;
01.01.18;01.01.18;;0,00 %;31 132;12 415;;;43 547;;;2 056;103;300;;;2 459;46 006;;;;;;47 626;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018
05.01.18;05.01.18;pe;3,40 %;32 296;12 731;;;45 027;;;3 306;103;300;;;3 709;48 736;;;;;;47 157;;;;Pörssit nousussa.  En ole tehnyt kauppoja.;;;;;;;;;;-450;-1,00 %;;;;;;;;;;;;;;;
