;;;;;;;;;;;;
;;;I;;;II;;;III;;;IV
;January;February;March;April;May;June;July;August;September;October;November;December
2016;;;;;;;;;;;;42 319
2017;;45 094;45 718;;47 452;33 624;;;43 567;;;44 531
2018;;;43 302;;40 913;41 684;;;41 662;;;38 214
2019;;;32 549;;32 932;30 711;;;30 949;;;32 423
2020;;;28 701;;22 906;27 973;;;28 379;;;30 932
2021;;30 767;;;;;;;;;;
